,frame,left_pupil,right_pupil
0,0,,
1,0,,
2,0,,
3,0,,
4,0,,
5,0,,
6,0,,
7,0,,
8,0,,
9,0,,
10,0,,
11,0,,
12,0,,
13,0,,
14,0,,
15,0,,
16,0,,
17,0,,
18,0,,
19,0,,
20,0,,
21,0,,
22,0,,
23,0,,
24,0,,
25,0,,
26,0,,
27,0,,
28,0,,
29,0,,
30,0,,
31,0,,
32,0,,
33,0,,
34,0,,
35,0,,
36,0,,
37,0,,
38,0,,
39,0,,
40,0,,
41,0,,
42,0,,
43,0,"(911, 866)","(1061, 864)"
44,0,"(920, 788)","(1117, 793)"
45,0,"(968, 726)","(1179, 733)"
46,0,"(1021, 646)","(1243, 658)"
47,0,"(1058, 612)","(1307, 624)"
48,0,"(1087, 622)","(1330, 638)"
49,0,"(1090, 630)","(1351, 645)"
50,0,"(1070, 642)","(1315, 653)"
51,0,"(1067, 637)","(1321, 652)"
52,0,"(1065, 653)","(1322, 667)"
53,0,"(1057, 652)","(1324, 666)"
54,0,"(1054, 652)","(1323, 666)"
55,0,"(1061, 641)","(1319, 656)"
56,0,"(1059, 642)","(1316, 655)"
57,0,"(1066, 640)","(1321, 657)"
58,0,"(1066, 641)","(1322, 658)"
59,0,"(1081, 641)","(1326, 658)"
60,0,"(1080, 638)","(1328, 651)"
61,0,"(1088, 642)","(1335, 653)"
62,0,"(1091, 646)","(1341, 659)"
63,0,"(1094, 649)","(1342, 662)"
64,0,"(1096, 650)","(1343, 663)"
65,0,"(1096, 652)","(1344, 666)"
66,0,"(1095, 664)","(1344, 676)"
67,0,"(1094, 663)","(1343, 677)"
68,0,"(1092, 663)","(1341, 677)"
69,0,"(1093, 663)","(1340, 678)"
70,0,"(1093, 663)","(1341, 677)"
71,0,"(1092, 662)","(1339, 675)"
72,0,"(1084, 658)","(1335, 677)"
73,0,"(1073, 649)","(1328, 671)"
74,0,"(1066, 651)","(1324, 669)"
75,0,"(1064, 651)","(1322, 669)"
76,0,"(1071, 657)","(1324, 673)"
77,0,"(1070, 660)","(1323, 673)"
78,0,"(1064, 659)","(1319, 674)"
79,0,"(1061, 662)","(1319, 678)"
80,0,"(1060, 662)","(1321, 677)"
81,0,"(1087, 659)","(1332, 675)"
82,0,"(1089, 658)","(1334, 671)"
83,0,"(1095, 662)","(1337, 680)"
84,0,"(1091, 675)","(1339, 690)"
85,0,"(1090, 674)","(1339, 689)"
86,0,"(1087, 667)","(1329, 681)"
87,0,"(1070, 658)","(1320, 674)"
88,0,"(1068, 656)","(1319, 672)"
